Consulta 1:
120 47 H
20 68 M
120 30 M
145 11 H
50 1 M
90 9 M
80 38 M
15 75 M
45 35 M
20 13 M
65 8 H
45 3 M
5 9 M
130 70 H
60 53 M
0 18 M
40 41 M
125 67 M
140 66 M
120 9 M
105 22 M
45 3 M
0 53 H
55 37 M
135 21 M
85 61 M
15 83 H
130 34 M
5 57 M
0 63 M
120 43 M
70 21 M
50 8 M
15 32 M
65 8 H
100 46 H
95 44 M
90 33 M
135 28 H
15 55 M
135 21 M
45 46 H
45 46 H
45 46 H
130 52 M
135 48 H
50 47 H
0 53 H
30 82 M
70 5 H
75 33 M
55 33 M
140 35 H
60 50 M
135 38 H
115 81 M
115 29 M
45 55 H
85 9 H
45 63 H
50 65 H
105 66 H
90 62 M
120 53 M
5 53 H
140 7 M
100 81 M
40 10 H
75 43 M
75 42 M
65 73 M
50 55 M
60 29 H
20 58 M
75 41 M
5 33 M
125 26 M
0 52 M
130 13 M
0 78 M
40 14 M
80 24 M
110 23 H
30 28 H
85 34 H
135 28 H
130 39 M
120 59 M
50 34 M
5 17 M
85 26 M
15 19 M
80 3 M
15 2 M
75 14 M
20 72 M
130 8 H
115 28 M
145 11 H
15 24 M
15 72 H
120 77 H
50 15 M
90 20 M
65 9 M
75 5 M
85 52 M
45 56 M
75 18 H
100 76 H
30 11 M
125 6 M
15 54 M
65 83 M
140 7 M
120 21 M
110 67 H
10 53 M
35 14 H
75 41 M
105 41 M
115 13 M
15 78 H
95 34 M
5 17 M
0 4 M
140 27 M
30 43 M
20 1 M
0 12 M
0 32 M
0 45 H
135 50 M
130 74 M
140 47 M
0 44 M
10 69 H
0 74 M
35 65 M
35 40 M
50 31 M
20 41 M
130 44 M
100 60 M
60 76 M
130 8 H
0 24 M
120 21 M
95 44 M
140 27 M
60 44 H
50 46 M
30 59 M
0 77 H
80 80 M
105 46 H
100 19 M
115 83 M
5 57 M
70 74 M
65 64 M
0 37 H
5 17 M
30 74 H
15 69 M
95 58 M
30 62 M
20 68 M
20 78 M
35 28 M
125 25 M
110 17 M
60 12 M
15 72 H
90 43 M
40 60 M
5 61 M
0 68 M
95 14 M
110 15 M
0 11 M
60 69 M
90 30 M
60 25 M
20 1 M
0 20 M
80 66 M
20 78 M
75 50 M
15 51 M
110 67 H
15 75 M
30 22 H
110 77 H
40 5 M
105 41 M
75 23 M
125 6 M
0 33 H
80 29 M
135 28 H
100 66 H
80 45 H
100 13 H
50 15 M
100 52 M
95 31 M
60 44 H
0 77 H
45 46 H
60 59 M
125 80 H
70 22 M
95 48 M
115 61 M
85 74 M
60 56 H
135 59 M
95 77 M
130 40 M
20 73 H
75 66 H
120 82 M
135 71 M
5 41 M
70 22 M
45 51 M
40 10 H
30 50 M
95 66 H
75 14 M
110 75 M
25 21 M
85 81 M
10 69 H
0 69 H
60 18 M
95 76 H
20 68 M
5 37 H
110 34 M
135 30 M
125 24 H
15 16 M
0 10 M
20 36 M
35 80 M
130 40 M
45 4 M
15 38 M
60 19 H
135 69 M
130 39 M
110 4 H
95 15 M
85 73 M
95 72 M
130 39 M
105 9 M
110 7 M
0 35 M
20 15 M
80 64 H
0 13 H
105 9 M
80 24 M
0 82 M
60 23 M
60 38 H
115 83 M
45 64 M
110 65 M
15 79 M
130 72 M
140 37 M
125 16 M
40 49 M
25 52 M
80 66 M
125 46 M
145 5 M
100 52 M
70 21 M
130 13 M
45 55 H
120 22 M
30 12 M
60 3 H
70 20 H
95 11 H
120 2 M
80 72 M
75 35 H
0 43 M
110 40 H
125 26 M
85 39 M
0 26 M
125 14 H
65 48 M
15 19 M
80 55 H
45 30 M
85 78 H
85 9 H
5 49 M
130 3 M
20 41 M
15 36 H
0 54 M
60 75 M
85 64 M
35 1 M
70 22 M
55 47 M
75 79 M
145 11 H
100 36 H
60 71 M
0 70 M
0 71 M
90 79 M
15 64 M
90 12 M
0 23 M
130 60 H
130 34 M
115 23 M
75 82 M
30 50 M
85 2 M
Consulta 9:
88 15 M
0 19 H
87 21 H
36 7 H
54 10 M
78 21 H
106 5 M
8 17 H
71 6 H
70 20 H
18 20 H
99 1 M
93 14 H
68 6 H
8 14 M
2 11 H
42 21 H
20 6 H
2 1 M
98 7 H
3 19 M
17 21 H
53 20 H
84 17 M
45 20 H
100 13 H
8 20 M
73 8 M
27 16 M
100 11 M
41 14 H
33 13 H
50 3 M
79 14 H
74 10 M
12 8 H
23 2 M
49 1 M
48 14 H
63 6 H
5 15 H
85 13 H
27 14 H
7 4 M
14 1 M
61 6 H
2 16 H
55 6 H
87 6 H
5 12 H
37 21 H
65 3 M
80 11 M
25 14 H
11 18 M
25 14 H
43 21 H
12 16 M
93 6 H
48 7 H
14 6 H
86 13 H
0 16 H
89 6 H
91 6 H
78 13 H
77 21 H
2 2 H
14 10 M
61 13 H
52 4 M
22 7 H
26 12 M
38 2 M
95 19 M
38 20 H
34 21 H
34 20 H
104 17 M
106 20 H
23 15 M
19 21 H
57 7 H
86 14 H
73 21 H
90 7 H
65 7 H
71 7 H
39 14 H
58 8 M
79 7 H
87 9 M
106 18 M
97 16 M
108 13 H
24 17 M
78 14 H
31 20 H
79 14 H
102 14 H
0 7 H
79 7 H
51 7 H
90 14 H
44 17 M
60 14 H
99 10 M
62 6 H
91 5 M
54 1 M
24 7 H
57 6 H
52 20 H
31 12 M
81 7 H
45 19 M
49 10 M
76 18 M
61 12 M
77 6 H
9 17 M
9 1 H
89 21 H
1 5 H
32 9 M
5 9 M
59 21 H
105 7 H
83 2 M
73 13 H
75 14 H
59 1 M
66 5 M
93 21 H
64 17 M
57 4 M
107 6 H
70 7 H
47 14 H
84 1 M
22 21 H
12 13 H
109 10 M
76 5 M
88 2 M
58 2 M
58 13 H
103 6 H
37 6 H
12 21 H
50 11 M
52 20 H
44 20 H
66 12 M
75 3 M
69 7 H
34 13 H
88 21 H
34 1 M
93 7 H
103 20 H
41 13 H
97 14 H
86 18 M
103 8 M
35 21 H
29 17 M
102 9 M
8 1 H
79 21 H
27 16 M
104 13 H
28 13 H
104 6 H
106 12 M
75 3 M
0 17 H
1 13 M
78 7 H
69 17 M
77 16 M
67 21 H
26 7 H
83 20 H
56 21 H
57 13 H
20 14 H
3 11 H
64 1 M
17 14 H
16 18 M
8 7 M
6 21 H
72 14 H
78 14 H
51 6 H
38 6 H
44 1 M
68 21 H
70 19 M
46 20 H
63 15 M
77 16 M
6 15 H
44 6 H
7 1 H
89 10 M
36 21 H
8 19 H
35 21 H
88 2 M
75 14 H
58 13 H
59 20 H
85 13 H
88 6 H
35 21 H
1 11 H
15 20 H
82 21 H
34 20 H
42 7 H
83 8 M
94 14 H
75 7 H
13 1 H
101 12 M
7 4 M
12 2 H
97 21 H
83 6 H
21 6 H
70 21 H
47 6 H
70 13 H
23 8 M
27 21 H
61 20 H
1 10 H
29 14 H
16 6 H
33 13 H
42 16 M
68 20 H
51 20 H
96 5 M
33 15 M
31 14 H
87 16 M
12 15 H
76 7 H
101 21 H
58 21 H
11 12 M
44 14 H
88 14 H
74 1 M
30 21 H
29 20 H
69 21 H
20 20 H
56 20 H
66 21 H
72 4 M
79 13 H
101 21 H
27 20 H
101 7 H
92 9 M
88 21 H
95 7 H
17 14 H
52 21 H
68 6 H
26 7 H
100 3 M
52 7 H
95 20 H
39 17 M
89 14 H
78 20 H
5 2 H
26 13 H
63 15 M
64 10 M
0 4 H
58 14 H
6 17 H
72 16 M
100 20 H
38 2 M
103 14 H
57 20 H
61 12 M
35 13 H
31 7 H
62 14 H
38 13 H
26 14 H
105 21 H
16 14 H
7 7 H
1 1 H
54 6 H
49 7 H
39 7 H
42 9 M
42 21 H
8 1 H
102 20 H
60 19 M
64 13 H
70 20 H
0 15 M
78 15 M
19 20 H
93 6 H
16 18 M
37 16 M
74 7 H
92 16 M
91 20 H
30 13 H
107 9 M
11 5 M
85 21 H
1 5 H
84 17 M
6 5 H
Consulta 10:
121 50 H
29 51 M
50 53 H
59 52 H
122 36 H
102 53 M
109 48 H
3 10 M
30 35 H
86 46 H
13 28 M
13 45 H
89 11 M
99 9 M
93 42 M
122 38 M
13 32 M
98 18 M
133 31 H
3 19 M
73 54 M
109 9 M
134 36 M
23 28 M
118 5 M
40 42 M
56 6 H
132 53 M
23 27 M
46 3 M
40 53 M
65 23 H
86 29 H
40 48 H
88 5 M
59 55 M
96 20 M
59 18 H
109 8 M
75 50 M
82 27 M
122 27 M
52 16 M
69 5 M
49 34 M
30 29 M
98 52 M
23 9 M
59 44 H
0 24 M
0 1 H
46 7 H
114 35 M
60 42 M
40 21 M
3 1 M
62 52 H
13 19 M
112 38 M
3 16 H
60 42 M
56 55 H
121 33 H
124 15 M
65 23 H
23 40 M
10 11 M
3 1 M
36 50 H
121 17 M
86 54 M
59 15 M
76 53 H
130 50 H
26 17 M
89 46 H
50 29 H
0 38 M
39 24 M
62 23 H
102 28 M
72 18 H
39 51 M
122 51 M
75 24 M
102 11 M
65 52 M
96 32 H
69 38 H
98 30 H
96 39 M
69 14 M
23 36 M
0 45 M
111 1 M
63 33 M
98 50 M
89 14 H
72 44 M
3 49 M
78 18 M
0 19 H
0 36 M
104 35 M
3 16 H
0 29 M
121 43 M
40 29 M
69 51 H
0 53 M
81 4 M
89 14 H
50 29 H
66 11 M
109 12 H
55 30 M
10 41 H
33 35 H
0 30 M
36 37 M
68 13 M
69 26 M
128 19 M
0 30 M
72 35 H
0 6 M
99 36 M
115 55 M
89 25 M
0 40 H
128 49 H
59 15 M
127 34 M
131 17 M
0 50 M
19 31 H
3 37 M
12 43 M
43 33 M
99 1 H
118 14 H
13 40 M
26 37 M
78 23 M
36 25 M
131 49 H
32 4 H
108 50 M
66 53 M
89 37 M
127 4 M
10 53 M
79 53 H
75 18 H
30 20 M
65 52 M
13 32 M
82 38 M
109 36 M
3 28 M
26 44 M
70 42 M
111 17 M
13 10 H
128 18 H
46 49 M
128 5 M
0 39 M
98 50 M
65 24 M
112 51 M
128 36 H
88 6 M
3 52 H
46 44 H
20 8 M
52 45 H
38 4 M
106 19 M
103 42 H
3 28 M
73 22 M
0 55 H
59 18 H
101 45 M
102 38 M
93 42 M
20 3 H
23 46 M
102 53 M
66 14 H
112 12 M
106 2 M
33 54 M
126 20 H
36 44 M
82 15 M
75 10 M
106 39 M
101 3 M
76 19 M
78 35 H
0 6 M
53 48 M
30 48 M
71 43 M
10 3 M
23 22 M
111 45 M
40 20 H
20 39 M
126 42 H
46 9 M
20 48 M
13 14 M
65 24 M
52 50 M
105 7 M
30 29 M
53 22 M
26 25 M
89 9 M
107 34 M
39 18 M
83 2 H
56 53 M
79 47 M
92 14 M
36 35 M
119 36 H
45 43 H
20 8 M
92 14 M
26 34 M
124 50 H
55 24 M
101 43 M
92 16 H
56 36 H
78 6 M
99 49 M
39 30 H
43 9 H
26 10 H
88 5 M
92 40 M
122 38 M
23 30 H
53 54 M
36 25 M
29 51 M
55 13 H
96 32 H
0 17 M
86 19 M
0 33 M
121 43 M
49 50 H
46 52 H
53 40 H
46 44 H
76 32 M
48 43 H
30 35 H
13 4 H
50 12 M
0 13 H
0 28 H
30 2 M
20 24 H
124 50 H
111 52 H
99 36 M
0 18 M
109 48 H
3 10 M
128 49 H
95 44 M
93 22 M
85 52 H
91 43 M
3 52 H
10 41 H
0 19 H
10 32 H
82 51 M
36 49 M
119 19 H
72 51 M
42 10 H
63 21 M
13 14 M
108 1 H
105 24 M
53 2 M
33 9 M
0 49 H
109 12 H
125 29 M
82 28 M
133 31 H
46 25 H
102 32 H
135 7 M
133 52 M
101 45 M
127 50 H
86 20 M
117 34 M
134 49 H
10 35 M
86 19 M
66 19 M
23 30 H
128 47 M
13 28 M
89 25 M
39 34 M
0 3 M
39 38 M
53 46 M
98 3 H
114 52 H
23 41 M
103 12 H
128 19 M
92 3 H
86 33 M
3 49 M
49 35 H
46 20 M
75 30 M
118 48 M
3 46 M
26 38 H
125 24 M
10 20 M
102 47 H
99 36 M
58 45 H
101 13 H
67 31 M
10 35 M
20 44 H
23 11 H
105 29 M
75 6 H
53 6 H
19 45 M
26 7 M
10 44 M
45 30 M
92 53 M
6 43 H
13 45 H
30 29 M
116 21 M
62 34 M
33 5 H
62 35 M
102 1 H
16 37 M
0 6 M
92 55 H
98 50 M
93 22 M
76 19 M
92 55 H
98 23 M
119 25 M
62 50 M
0 20 M
52 50 M
132 20 H
32 43 H
0 28 H
10 5 H
105 15 H
62 52 H
52 16 M
10 45 H
40 2 H
126 20 H
95 24 M
55 24 M
124 50 H
0 52 H
79 11 M
103 22 M
75 30 M
89 49 M
35 43 M
62 23 H
126 42 H
131 45 M
132 53 M
85 5 H
59 52 H
66 9 M
112 28 M
63 8 M
10 42 M
13 49 M
72 38 M
46 11 M
23 30 H
0 15 M
0 10 H
132 51 H
131 1 M
72 6 H
0 9 M
96 32 H
118 6 M
33 14 M
10 51 M
0 8 M
26 38 H
96 32 H
112 40 M
33 35 H
43 32 M
114 35 M
111 17 M
118 50 H
116 39 H
0 14 M
114 52 H
131 43 M
62 23 H
132 53 M
26 24 M
30 8 M
56 55 H
43 40 M
93 21 M
116 2 M
115 48 H
116 39 H
10 41 H
3 49 M
69 3 M
50 53 H
69 49 M
72 18 H
135 10 M
71 41 H
10 5 H
56 29 M
23 11 H
43 15 M
52 13 H
115 55 M
45 43 H
63 8 M
106 33 H
91 13 M
109 48 H
3 49 M
89 3 H
39 51 M
106 54 H
69 14 M
23 14 M
89 49 M
101 45 M
66 1 M
118 47 M
19 16 M
13 40 M
69 47 M
Consulta 11:
329 2 M
0 10 H
92 16 M
164 7 H
26 5 M
164 13 M
16 4 H
56 1 H
296 16 M
216 17 H
234 2 H
190 5 H
72 7 H
413 17 M
173 17 M
180 12 M
335 15 M
417 13 M
302 13 M
204 9 H
423 11 M
13 17 M
210 8 M
374 12 M
230 8 H
171 16 M
154 7 M
200 12 H
279 8 M
311 4 H
388 16 M
3 1 M
424 16 M
40 9 H
405 3 M
228 6 H
417 8 M
58 4 H
276 15 M
3 7 M
0 5 M
211 2 H
127 4 H
171 15 H
174 15 M
66 3 M
383 4 M
328 7 M
177 7 M
16 7 M
424 16 M
266 15 M
128 8 M
10 2 M
3 1 M
109 9 H
220 8 M
369 6 M
296 9 H
423 17 H
437 8 H
49 7 M
20 2 M
135 10 M
356 6 M
251 6 H
115 8 H
70 2 M
365 9 H
3 13 H
289 8 M
60 2 M
201 2 M
385 10 H
351 5 H
299 9 M
187 7 H
383 4 M
250 9 H
75 7 M
438 3 H
371 7 H
249 5 M
365 9 H
115 8 H
368 8 H
229 17 M
72 10 M
372 14 M
325 13 M
203 12 M
82 10 M
245 4 M
243 13 H
213 5 H
30 6 H
387 11 H
416 4 M
262 11 M
220 13 H
338 12 H
184 8 H
342 16 M
148 9 M
339 14 M
53 9 M
387 12 M
226 5 M
408 10 H
256 8 M
170 5 M
0 12 M
438 6 M
355 16 M
308 11 M
134 11 H
207 15 M
210 8 M
164 13 M
33 6 M
68 11 M
111 11 H
92 16 M
352 1 H
325 8 M
440 8 M
251 6 H
430 12 H
315 12 H
13 12 H
416 4 M
236 5 H
39 7 M
362 2 M
26 11 H
69 8 M
82 12 H
138 8 H
246 7 M
68 11 M
303 14 M
236 12 M
430 13 M
157 12 M
297 6 H
211 14 M
174 8 M
122 2 M
61 4 M
0 17 M
381 15 M
247 14 M
95 13 M
354 17 H
423 17 H
154 12 H
164 13 M
349 14 M
411 16 M
429 4 M
311 4 H
16 7 M
157 12 M
240 15 H
55 5 M
378 1 M
199 4 M
431 10 H
416 4 M
287 6 M
119 3 M
75 13 M
236 7 M
3 7 M
260 10 M
162 3 H
444 2 M
13 17 M
391 15 M
265 4 H
444 1 H
45 13 M
331 11 M
52 17 M
165 14 M
411 1 M
233 8 M
33 17 H
349 3 M
303 3 M
197 13 H
141 7 H
10 15 M
241 6 M
210 8 M
127 17 M
299 8 H
334 4 H
122 1 H
72 16 M
144 5 H
311 4 H
446 11 M
36 17 H
283 16 H
33 8 M
214 10 M
319 16 M
296 1 M
319 1 M
314 4 M
69 12 M
196 4 H
332 15 H
49 7 M
65 11 H
135 16 M
229 11 M
213 12 M
201 10 H
132 14 M
10 6 M
66 15 M
190 12 M
190 5 H
114 11 M
203 5 M
19 13 M
355 16 M
23 3 M
285 17 H
438 6 M
126 6 M
411 10 M
144 12 M
73 6 M
312 8 M
338 7 M
355 9 M
227 16 M
111 12 M
142 14 M
114 11 M
142 2 H
382 14 H
322 8 H
66 16 H
243 8 M
391 8 H
253 9 M
79 15 M
264 6 M
303 2 H
313 3 M
206 17 M
443 7 M
233 8 M
423 5 M
13 17 M
438 3 H
322 9 M
75 5 H
341 12 M
430 7 M
184 15 M
135 10 M
171 15 H
62 17 M
411 9 H
253 15 M
309 16 M
420 5 H
214 2 M
101 5 M
193 5 M
296 16 M
388 10 M
365 1 M
264 6 M
220 13 H
26 11 H
53 9 M
371 7 H
50 14 M
355 16 M
69 1 M
193 5 M
153 4 M
142 14 M
329 16 H
326 14 M
336 14 H
195 6 M
Consulta 12:
43 40 M
52 1 M
82 20 H
109 27 M
149 12 H
99 26 M
109 45 M
86 36 H
32 46 M
121 19 H
140 34 M
26 35 M
56 37 H
0 9 M
122 3 H
116 30 M
79 27 M
92 39 M
86 25 M
144 21 M
19 46 H
102 2 H
50 3 M
115 37 H
86 25 M
56 28 M
59 42 H
125 25 M
20 8 H
125 26 M
49 31 M
56 11 M
10 24 H
26 2 M
122 40 M
75 22 M
32 4 M
92 39 M
59 8 H
92 13 M
20 36 M
144 1 H
82 1 M
76 11 M
108 21 M
6 1 M
70 32 M
112 39 M
49 24 H
72 31 M
56 39 M
151 42 M
123 14 M
36 42 M
130 34 M
118 23 M
23 6 M
131 39 H
126 11 M
145 42 H
23 27 M
131 4 M
145 9 M
66 48 M
147 18 M
50 12 M
114 36 M
20 39 M
132 9 H
56 20 M
127 36 M
0 10 H
13 47 M
134 19 M
138 23 H
95 21 H
50 44 H
13 40 M
141 40 H
30 39 M
96 25 M
53 40 M
55 46 M
33 34 H
115 44 M
30 5 H
126 32 M
111 48 M
0 3 M
69 6 M
84 38 M
72 18 H
26 8 M
30 23 M
79 16 M
144 2 M
39 1 H
89 36 M
23 21 M
102 48 H
32 22 H
148 46 M
109 16 M
95 8 M
82 6 H
49 34 H
46 21 M
82 44 H
147 36 H
62 34 M
105 36 H
56 2 M
141 40 H
109 25 H
68 19 M
20 35 H
0 10 H
43 39 H
134 18 H
121 1 H
118 47 M
72 7 H
135 27 M
43 45 M
122 31 M
102 13 M
113 12 M
75 22 M
129 29 M
26 1 H
10 23 M
76 36 M
13 42 M
72 42 M
59 31 H
0 14 M
151 48 M
0 37 H
131 21 M
46 37 M
92 31 M
